950106013-044	19	23	しかし、並立制が連立政権を求めている	かというと	、そうではない。	1=>W:話題,0=>その他
950106024-004	59	60	この重油は昨年中に北朝鮮に送られる予定だったが、在韓在韓米軍米軍ヘリの軍事境界線越境事件のために米国側が延期を要請し	てい	た。	1=>M:継続,0=>その他
950106157-001	48	49	福岡市中央区に住む韓国籍の男性が日本人の元高校教諭の氏名や戸籍を使い福岡市に二十二十一年間勤め	てい	たことが分かり、福岡県警外事課と八幡東署は五日、有印私文書偽造・同行使と外国人登録法違反の疑いで男性宅を家宅捜索した。	1=>M:継続,0=>その他
950106204-012	45	46	同時に欧州でも、プロラグビー人気に押され気味で、ＦＩＲＡにオリンピック復帰の機運が生まれ	てい	た。	1=>M:継続,0=>その他
950106007-010	29	30	一週間たっても引き取りに来ないため、駐車場が警視庁に届け	てい	た。	1=>M:継続,0=>その他
950106003-003	46	47	欧州各国では、ロシアが加盟する全欧安保協力機構の圧力を通じ紛争の平和解決を求める声が強まっ	てい	たが、チェチェン紛争に関しＥＵがロシアに抗議の姿勢を示したのは初めて。	1=>M:継続,0=>その他
950401040-022	33	34	外務当局の接触で正常化交渉再開に取り組める見通しは、すでに芽生え	てい	たのである。	1=>M:継続,0=>その他
950106022-002	75	76	韓国のハンギョレ新聞は、六日付早版で、米国が、核問題に関するジュネーブでの米朝米朝包括合意により、今月十六日から朝鮮民主主義人民共和国に対して実施し	てい	た制裁措置を解除する方針だ、と報じた。	1=>M:継続,0=>その他
950106191-008	65	66	チェチェンへの軍事介入に関しては、これに批判的な共産党とは距離を置き、憲法秩序回復の必要性を主張、エリツィン大統領の立場を支持し	てい	た。	1=>M:継続,0=>その他
950106187-005	42	43	チェチェン進攻にあたってロシアは「内政問題」を盾に外国からの批判をかわせると判断し	てい	たようだ。	1=>M:継続,0=>その他
950106128-014	54	55	松井さんの弟康浩さんは「目の前に頂上が見えても危険を感じれば引き返すのが山のプロの心構え、と日ごろから話し	てい	たのにこんなことになるなんて」と最初はしっかりとした口調だったが、やがて涙が言葉を詰まらせた。	1=>M:継続,0=>その他
950106158-011	44	45	取材に対し、同病院の事務長は「携帯電話のことは記録になく、九月に辞任した前任者が管理し	てい	たので分からないが、特別な介護の必要な病気ではないし……。なぜこんなに多額の室料室料差額になったのか分からない」と困惑、調査したいとしている。	1=>M:継続,0=>その他
950106082-028	60	61	しかし、自治労が二年前、全国約二千二千九百九百の自治体を調査したら、約二割の自治体に「夫が昇進、妻は退職」の慣行が残っ	てい	た。	1=>M:継続,0=>その他
950106172-004	26	27	当時、関根容疑者が住民票を移し、犬の繁殖場にも使っ	てい	た同峠近くの知人宅を捜索、遺体の焼却に使われた庭先のドラム缶周辺の土を採取するなど詳しく調べた。	1=>M:継続,0=>その他
950106021-015	45	46	牛肉・オレンジ市場開放交渉では、農水省内の情報提供者から「日本の最終譲歩リスト」を入手し	てい	た、と別の関係筋は証言した。	1=>M:継続,0=>その他
950401039-022	43	44	従来のようにすべてを官僚の手にゆだねる方式をとっていたなら、もっとひどい結果に終わっ	てい	たに違いない。	1=>M:継続,0=>その他
950106045-004	10	11	その後、戦闘は起き	てい	ない。	1=>M:継続,0=>その他
950401039-022	25	26	従来のようにすべてを官僚の手にゆだねる方式をとっ	てい	たなら、もっとひどい結果に終わっていたに違いない。	1=>M:継続,0=>その他
950106149-010	4	5	利用し	てい	ないのは三十三十六市町村だが、「市内の処分場は数年以内にいっぱい」など状況は悪化。	1=>M:継続,0=>その他
950106082-003	25	27	「自分の出世のため、同じ教職にある妻が犠牲になっ	ていい	のかどうか。うーん、迷ったな」	1=>M:許可,0=>その他
950106199-005	21	23	だが、チェーンをしているものは全くといっ	ていい	ほど、見掛けない。	1=>M:許可,0=>その他
950106013-032	12	14	これから強固なものにし	ていか	なければならない。	1=>M:発継続,0=>その他
950106013-032	12	17	これから強固なものにし	ていかなけれ	ばならない。	1=>M:不許可,2=>M:自然発生,0=>その他
950106118-002	30	32	立ち上がり早々の動きの速さが、時計が進むにつれて微妙に落ち	ていく	。	1=>M:発継続,0=>その他
950106081-004	46	48	今後の薬局の役割として「薬を売るだけでなく、健康アドバイザーとして消費者と信頼関係をつくっ	ていく	ことが大事」と提言している。	1=>M:発継続,0=>その他
950106150-007	55	57	来月にも、創立総会を開き、今春の統一地方選を手始めに、夏の参院選、小選挙区での衆院総選挙などで選挙協力を行っ	ていく	。	1=>M:発継続,0=>その他
950106150-008	34	36	国会議員に次いで、各府県議会議員、政令市の市議らにも結集を呼びかけ	ていく	。	1=>M:発継続,0=>その他
950106074-006	40	42	経済同友会の速水優代表幹事が「企業の枠を超えて、それぞれ違った形で問題提起をし	ていく	のが役割」と締めくくった。	1=>M:発継続,0=>その他
950106150-012	18	20	リベラル近畿は、これを強化・拡大し	ていく	。	1=>M:発継続,0=>その他
950106023-001	45	47	全電通の梶本幸治委員長は五日の旗開き旗開きで、今春闘で九千九千五百五百円の賃上げを要求し	ていく	ことを明らかにした。	1=>M:発継続,0=>その他
950106013-026	45	47	新進党にすぐ入るということはないかもしれないが、そういう方向に我々がこの党をどう作り上げ	ていく	かにかかっていると思う。	1=>M:発継続,0=>その他
950402033-021	70	72	社会状況や周辺の軍事情勢の変化に合わせて、本当に秘密にしなければならない情報と、そうでない情報を明確に区別した、国民に分かる形の基準を作っ	ていく	べきではないだろうだろうか。	1=>M:発継続,0=>その他
950106221-005	48	50	だが、その後「日本女性をことさらに蔑視する和製英語」というこの言葉に対する批判が幅広く支持を得	ていく	なかで、次第に聞かれなくなった。	1=>M:発継続,0=>その他
950106185-009	21	23	また６４メガＤＲＡＭの生産量も今後拡大し	ていく	とみられている。	1=>M:発継続,0=>その他
950106082-025	34	36	それでも満さんは「多くの友人が夫の管理職昇進と引き換えに学校を去っ	ていっ	たのは残念です」と、慣行の廃止を訴える。	1=>M:発継続,0=>その他
950106118-001	30	32	目に見えない力が、少しずつ国学院久我山ＦＷのスタミナを奪っ	ていっ	た。	1=>M:発継続,0=>その他
950106178-017	47	50	○○は秘密ですが、これから毎年、その年の干支にかかわりのある神社にお参りに行こう行こうと考え	ています	。	1=>M:継続,0=>その他
950405043-013	24	27	「観客」は地方政治の大変動をこのまま黙って眺め	ていよう	いようというのだろうだろうか。	1=>M:継続,0=>その他
950106077-003	83	85	規制緩和については「今年は計画を作り、実行する年」と位置付けながらも、「経済的規制の撤廃はほとんど進んでおらず、小康状態に甘んじている」と政治のリーダーシップが欠け	ている	現状に不満を見せた。	1=>M:継続,0=>その他
950106157-010	33	35	五一年に住民登録した公正証書原本不実記載などの容疑は時効が成立し	ている	。	1=>M:継続,0=>その他
950106077-005	38	40	景気の見通しについて豊田会長は「円高円高と設備投資という構造的な問題を抱え	ている	ため実感できない」とし、稲葉会頭も「実感できるまで、まだ一年はかかる」との見通しを示した。	1=>M:継続,0=>その他
